playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
855,1009,48,0,73,172.0,74.0,2,462,246,99,117,225,56,1,3,0.25,0.25,132,42,0.35580571492188856,0.00022948964086646402,0.5356284803308398,0.00100164730649311,2,0.328777087957597,0.4426599029001679,0.3574649783578492,0.5290465451763796
856,1010,83,0,494,180.0,73.0,10,217,97,52,68,8,27,0,0,0.75,0.75,96,20,0.3353053497529863,9.638668990978081e-06,0.4268945184027004,3.6880224734070796e-05,4,0.32708755701047276,0.3592820088204563,0.3307003189754876,0.3886803619907219
857,1011,83,0,1269,178.0,73.0,10,226,113,59,54,5,32,0,0,0.0,0.5,82,23,0.3431699636036173,0.000219256366263838,0.4669403708472975,0.000822971285640673,3,0.3277035140558962,0.362444958738221,0.33403006591400647,0.4042918819504061
858,1012,31,2,1032,183.0,85.0,1,140,75,24,41,13,34,2,1,0.0,0.0,77,29,0.35004907286996007,0.0032968095236196103,0.5076419500010876,0.013752210497518,1,0.3287867104445028,0.4469683104948836,0.344876010844056,0.4485573318927899
859,214,62,3,437,185.0,78.0,1,175,68,38,69,10,26,1,2,0.0,0.0,50,1,0.3698935941871719,0.00022948964086646402,0.5882973115445439,0.00100164730649311,1,0.3698935941871719,0.5882973115445439,0.3698935941871721,0.5882973115445441
860,215,35,3,306,188.0,75.0,11,264,83,69,112,34,42,0,1,0.0,0.25,45,10,0.3674592111977351,9.83213148637282e-05,0.583599572104958,0.000404579006949242,2,0.35128031080344846,0.49097987345914684,0.36947864254124546,0.5874965605037056
861,1014,30,1,925,181.0,74.0,10,74,26,20,28,0,16,1,0,1.0,1.0,37,9,0.33261813902858284,0.000150884729853696,0.3231444105400735,0.0005859663580006839,5,0.3333620940670921,0.35462998129158385,0.3336510174364699,0.3296226868376222
862,1015,36,1,1298,173.0,70.0,0,267,112,76,79,7,42,2,0,0.75,0.75,89,33,0.33228364156664075,0.0032968095236196103,0.3745603475814142,0.013752210497518,4,0.33069999133082123,0.3699917512462787,0.3322369660990046,0.3465777617622882
863,1016,49,0,378,168.0,63.0,6,7,3,2,2,0,0,0,0,0.75,0.75,7,3,0.3365934157632042,0.00361458209483825,0.47298008513513096,0.0210609399561913,4,0.32671447245388,0.3567396943995975,0.3365934157632042,0.47298008513513096
864,1017,11,2,1220,184.0,77.0,4,277,128,65,84,26,32,1,0,0.0,0.0,88,26,0.345762293954039,9.83213148637282e-05,0.4342133814985136,0.000404579006949242,1,0.32944571252087607,0.43964398835226515,0.3405220856656484,0.3777442614715794
865,1018,39,2,1188,180.0,78.0,0,247,96,55,96,39,58,2,0,0.25,0.25,90,19,0.3422138918839405,0.00361458209483825,0.391371022927106,0.0210609399561913,2,0.33630714778965737,0.34639887037492273,0.33866344860106007,0.35615463226836774
866,1019,31,2,916,198.0,100.0,5,129,60,27,42,0,4,0,0,0.0,0.0,88,10,0.34126574636070894,0.000219256366263838,0.37462484772062454,0.000822971285640673,1,0.33763801180348424,0.3449454225675886,0.340512182410557,0.3654388220863277
867,1020,78,1,915,183.0,73.0,9,123,38,33,52,13,17,2,0,0.75,1.0,53,11,0.36054140100234644,0.0032968095236196103,0.6102704847666851,0.013752210497518,5,0.34088561010193824,0.39022480033048745,0.35074357841191534,0.5035415074316535
868,1021,77,2,796,196.0,88.0,1,153,62,32,59,12,10,0,0,0.0,0.0,99,12,0.33989484292240857,0.000219256366263838,0.3711372144203737,0.000822971285640673,1,0.3374571378878907,0.3436050065779651,0.33853420693138153,0.360988238933125
869,216,23,3,986,166.0,68.0,10,151,60,36,55,3,41,2,0,0.25,0.25,54,3,0.3700622383688237,0.00022948964086646402,0.5868529803875794,0.00100164730649311,2,0.36995062473983154,0.5866012128212532,0.36995390402696826,0.5877807957665572
870,1022,44,1,1156,170.0,62.0,7,273,101,89,83,2,15,1,0,0.25,0.25,67,17,0.3408671104535442,0.0032968095236196103,0.40460624022200864,0.013752210497518,2,0.3350872733687216,0.37818351095017594,0.3359708292264452,0.3562176670518601
871,1023,6,0,441,185.0,75.0,1,247,135,52,60,20,36,2,3,0.0,0.0,78,21,0.33993038034248807,0.000150884729853696,0.39759122073598957,0.0005859663580006839,1,0.32886156873226724,0.36190532056372327,0.33347413928534747,0.37274095605011776
